run_id,temperature,learning_rate,final_loss,best_rf_acc,best_linear_acc
0,0.07,0.0003,2.212502976258596,0.865909090909091,0.3068181818181818
1,0.07,0.0003,2.324678142865499,0.8594696969696969,0.3196969696969697
10,0.15,0.0003,,,
11,0.15,0.0003,,,
12,0.07,0.0003,,,
13,0.07,0.0003,,,
14,0.1,0.0003,,,
15,0.1,0.0003,,,
16,0.15,0.0003,,,
17,0.15,0.0003,,,
18,0.07,0.0003,,,
19,0.07,0.0003,,,
2,0.1,0.0003,3.3405292431513467,0.8774621212121211,0.3808712121212121
20,0.1,0.0003,,,
21,0.1,0.0003,,,
22,0.15,0.0003,,,
23,0.15,0.0003,,,
24,0.07,0.0003,,,
25,0.07,0.0003,,,
26,0.1,0.0003,,,
27,0.1,0.0003,,,
28,0.15,0.0003,,,
29,0.15,0.0003,,,
3,0.1,0.0003,3.1930943727493286,0.8585227272727274,0.3933712121212121
30,0.07,0.0003,,,
31,0.07,0.0003,,,
32,0.1,0.0003,,,
33,0.1,0.0003,,,
34,0.15,0.0003,,,
35,0.15,0.0003,,,
36,0.07,0.0003,,,
37,0.07,0.0003,,,
38,0.1,0.0003,,,
39,0.1,0.0003,,,
4,0.15,0.0003,4.578298528989156,0.8464015151515152,0.44810606060606056
40,0.15,0.0003,,,
41,0.15,0.0003,,,
42,0.07,0.0003,,,
43,0.07,0.0003,,,
44,0.1,0.0003,,,
45,0.1,0.0003,,,
46,0.15,0.0003,,,
47,0.15,0.0003,,,
48,0.07,0.0003,,,
49,0.07,0.0003,,,
5,0.15,0.0003,4.648383855819702,0.8897727272727274,0.45378787878787874
50,0.1,0.0003,,,
51,0.1,0.0003,,,
52,0.15,0.0003,,,
53,0.15,0.0003,,,
54,0.07,0.0003,,,
55,0.07,0.0003,,,
56,0.1,0.0003,,,
57,0.1,0.0003,,,
58,0.15,0.0003,,,
59,0.15,0.0003,,,
6,0.07,0.0003,,,
7,0.07,0.0003,,,
8,0.1,0.0003,,,
9,0.1,0.0003,,,
